point_id,region_code,aip_cycle,ident,point_type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,associated_airport,frequency_khz,dme_frequency_khz,dme_channel,usage_type,power,source_system,source_file
US-2605-airport-OR51,US,2605,OR51,airport,Gillette Field,44.719600677490234,-122.69999694824219,735,US,OR51,,,,,,OurAirports,airports.csv
US-2605-airport-OR52,US,2605,OR52,airport,Venell Airport,44.4734992980957,-123.3030014038086,246,US,OR52,,,,,,OurAirports,airports.csv
US-2605-airport-OR53,US,2605,OR53,airport,Wapinitia Airport,45.14569854736328,-121.22899627685547,1910,US,OR53,,,,,,OurAirports,airports.csv
US-2605-airport-OR54,US,2605,OR54,airport,Winn Airport,44.5984992980957,-123.20700073242188,205,US,OR54,,,,,,OurAirports,airports.csv
US-2605-airport-OR55,US,2605,OR55,airport,Good Samaritan Hospital Heliport,44.6044933803,-123.251892328,340,US,OR55,,,,,,OurAirports,airports.csv
US-2605-airport-OR56,US,2605,OR56,airport,Weston Ranch Ultralight Flightpark,44.37166,-121.093056,3000,US,OR56,,,,,,OurAirports,airports.csv
US-2605-airport-OR57,US,2605,OR57,airport,Walker Airport,43.86869812011719,-123.03399658203125,580,US,OR57,,,,,,OurAirports,airports.csv
US-2605-airport-OR58,US,2605,OR58,airport,Providence Seaside Hospital Heliport,45.98903,-123.91302,25,US,OR58,,,,,,OurAirports,airports.csv
US-2605-airport-OR59,US,2605,OR59,airport,Trivelpiece Airport,45.33150100708008,-123.20700073242188,165,US,OR59,,,,,,OurAirports,airports.csv
US-2605-airport-OR60,US,2605,OR60,airport,Chamberlain Airport,42.466668,-122.713561,1430,US,OR60,,,,,,OurAirports,airports.csv
US-2605-airport-OR61,US,2605,OR61,airport,Apple Valley Airport,45.678398,-123.185997,247,US,OR61,,,,,,OurAirports,airports.csv
US-2605-airport-OR62,US,2605,OR62,airport,Cache Creek Airport,45.981985,-116.903981,1030,US,OR62,,,,,,OurAirports,airports.csv
US-2605-airport-OR63,US,2605,OR63,airport,Seaside Heliport,45.84149932861328,-123.927001953125,10,US,OR63,,,,,,OurAirports,airports.csv
US-2605-airport-OR64,US,2605,OR64,airport,Beach Ranch Airport,45.96379852294922,-117.23500061035156,4000,US,OR64,,,,,,OurAirports,airports.csv
